index,search_results,rank
0,9,5
1,10,0
2,9,4
3,8,4
4,6,2
5,5,5
6,2,2
7,5,5
8,8,3
9,8,5
10,8,0
11,6,1
12,10,4
13,3,3
14,7,3
15,5,0
16,9,5
17,10,4
18,10,6
19,11,0
20,3,1
21,8,5
22,3,2
23,7,6
24,6,6
25,6,4
26,8,3
27,10,0
28,6,5
29,5,2
30,5,1
31,9,3
32,6,6
33,7,4
34,3,2
35,4,0
36,3,3
37,5,4
38,9,4
39,4,4
40,10,0
41,6,1
42,8,2
43,7,0
44,8,0
45,8,6
46,7,3
47,8,7
48,10,4
49,9,6
50,14,8
51,11,5
52,13,7
53,11,0
54,10,7
55,7,2
56,4,0
57,4,2
58,6,3
59,3,0
60,10,0
61,6,2
62,4,3
63,6,0
64,4,0
65,7,6
66,4,1
67,1,1
68,7,3
69,7,3
70,7,4
71,5,5
72,8,2
73,13,8
74,5,3
75,4,0
76,6,2
77,3,2
78,4,4
79,11,0
80,9,0
81,7,6
82,2,2
83,10,5
84,8,5
85,9,4
86,7,4
87,9,0
88,2,2
89,8,3
90,10,8
91,10,0
92,0,0
93,3,0
94,6,5
95,9,4
96,10,5
97,12,9
98,6,0
99,6,3
100,9,0
101,14,0
102,2,1
103,12,8
104,6,2
105,10,10
106,6,6
107,12,8
108,1,1
109,5,4
110,2,0
111,7,5
112,9,6
113,7,6
114,8,2
115,1,1
116,2,2
117,10,4
118,5,0
119,5,0
120,1,0
121,3,3
122,9,0
123,4,0
124,10,4
125,8,0
126,7,1
127,11,5
128,9,0
129,2,1
130,7,2
131,5,5
132,8,4
133,10,4
134,7,3
135,7,2
136,2,0
137,6,3
138,10,0
139,8,5
140,8,4
141,5,0
142,9,0
143,6,2
144,4,1
145,12,0
146,6,5
147,6,3
148,6,5
149,4,3
150,6,6
151,10,4
152,10,5
153,6,5
154,6,4
155,8,2
156,6,0
157,7,4
158,7,6
159,7,0
160,8,5
161,2,0
162,9,0
163,6,0
164,11,7
165,8,2
166,4,0
167,5,5
168,7,4
169,6,0
170,6,2
171,4,3
172,3,3
173,5,0
174,8,3
175,3,2
176,6,5
177,9,4
178,6,3
179,6,3
180,7,3
181,6,0
182,3,2
183,12,0
184,3,2
185,5,1
186,6,1
187,9,5
188,5,4
189,7,5
190,6,5
191,6,4
192,7,5
193,4,3
194,10,4
195,12,6
196,4,4
197,6,2
198,9,0
199,8,0
200,4,3
201,4,2
202,5,4
203,8,4
204,10,5
205,9,3
206,13,7
207,10,4
208,7,5
209,5,2
210,12,9
211,8,2
212,4,1
213,8,3
214,12,6
215,1,1
216,4,2
217,13,0
218,9,7
219,9,3
220,6,1
221,12,6
222,9,4
223,11,0
224,3,0
225,5,0
226,10,0
227,5,5
228,5,4
229,12,0
230,7,3
231,9,0
232,5,2
233,7,7
234,10,0
235,9,4
236,4,0
237,4,3
238,5,5
239,9,5
240,9,5
241,8,2
242,8,0
243,8,5
244,3,2
245,5,1
246,11,6
247,6,0
248,5,3
249,7,5
250,11,0
251,6,1
252,5,5
253,12,7
254,5,5
255,6,0
256,7,4
257,3,0
258,2,2
259,7,5
260,7,0
261,8,5
262,0,0
263,7,2
264,3,0
265,3,0
266,6,4
267,9,3
268,6,4
269,9,4
270,12,7
271,5,0
272,8,4
273,11,6
274,10,5
275,2,1
276,7,0
277,6,4
278,13,7
279,7,0
280,11,0
281,7,6
282,6,4
283,11,5
284,1,1
285,8,4
286,9,3
287,4,1
288,9,7
289,8,2
290,8,0
291,4,4
292,7,0
293,7,7
294,3,1
295,5,4
296,11,0
297,4,4
298,7,6
299,6,3
300,10,8
301,8,6
302,5,1
303,4,4
304,6,3
305,8,3
306,9,5
307,9,4
308,9,0
