index,search_results,rank
0,4,4
1,2,0
2,3,0
3,5,3
4,3,1
5,2,0
6,2,1
7,3,0
8,4,2
9,3,2
10,3,1
11,1,0
12,6,0
13,3,2
14,3,0
15,3,0
16,4,2
17,8,6
18,1,1
19,1,0
20,2,2
21,2,2
22,2,0
23,4,0
24,6,4
25,3,0
26,5,0
27,2,1
28,6,4
29,6,0
30,3,2
31,2,0
32,1,0
33,3,2
34,2,0
35,2,2
36,2,0
37,6,0
38,4,0
39,2,0
40,3,1
41,4,2
42,3,2
43,0,0
44,4,0
45,2,0
46,3,3
47,2,1
48,2,0
49,2,2
50,3,2
51,2,0
52,4,3
53,4,0
54,5,0
55,3,2
56,2,0
57,4,2
58,1,1
59,2,1
60,4,0
61,3,0
62,5,4
63,3,2
64,1,0
65,6,4
66,7,5
67,4,0
68,0,0
69,1,0
70,1,1
71,3,0
72,2,2
73,3,0
74,6,0
75,3,0
76,4,2
77,4,0
78,3,1
79,2,2
80,2,0
81,5,4
82,6,0
83,3,0
84,2,1
85,3,3
86,3,2
87,5,5
88,6,5
89,5,0
90,1,1
91,0,0
92,3,0
93,2,0
94,1,1
95,1,0
96,2,2
97,2,2
98,3,1
99,1,0
100,5,3
101,5,3
102,3,1
103,0,0
104,2,0
105,6,4
106,2,1
107,4,0
108,5,4
109,2,1
110,3,1
111,1,0
112,0,0
113,2,0
114,4,0
115,4,0
116,3,2
117,3,0
118,3,0
119,2,0
120,1,0
121,3,0
122,5,3
123,4,4
124,5,0
125,0,0
126,2,0
127,2,0
128,1,1
129,4,2
130,4,0
131,5,5
132,2,1
133,3,0
134,6,4
135,3,2
136,4,0
137,3,2
138,1,1
139,5,0
140,2,1
141,4,0
142,3,1
143,1,1
144,3,0
145,2,0
146,2,0
147,3,0
148,2,0
149,2,0
150,3,0
151,0,0
152,4,0
153,6,0
154,6,4
155,2,0
156,1,0
157,2,0
158,1,0
159,4,4
160,2,0
161,3,1
162,3,1
163,3,0
164,4,4
165,4,4
166,4,0
167,4,2
168,2,0
169,2,0
170,6,4
171,4,0
172,5,5
173,3,0
174,0,0
175,5,0
176,5,0
177,1,1
178,2,0
179,10,0
180,1,0
181,2,2
182,3,0
183,4,4
184,4,0
185,0,0
186,1,0
187,5,3
188,2,1
189,4,2
190,4,3
191,7,0
192,2,0
193,4,0
194,3,2
195,2,0
196,2,0
197,2,0
198,3,0
199,3,0
200,2,1
201,0,0
202,2,1
203,1,0
204,1,0
205,3,1
206,3,2
207,0,0
208,3,0
209,2,0
210,3,3
211,1,1
212,4,2
213,3,0
214,3,3
215,3,1
216,2,2
217,2,1
218,2,0
219,1,1
220,1,0
221,5,5
222,4,3
223,2,0
224,3,1
225,4,2
226,3,0
227,3,0
228,1,1
229,2,1
230,3,1
231,3,3
232,6,4
233,3,1
234,4,3
235,4,2
236,3,2
237,2,0
238,4,0
239,3,0
240,3,0
241,3,1
242,2,0
243,4,0
244,5,4
245,4,0
246,4,2
247,1,0
248,5,0
249,4,2
250,2,1
251,4,0
252,4,3
253,3,2
254,2,2
255,4,4
256,0,0
257,3,3
258,7,5
259,3,1
260,1,1
261,4,3
262,2,1
263,2,1
264,3,2
265,4,0
266,4,0
267,2,0
268,3,3
269,3,2
270,4,2
271,7,6
272,4,3
273,5,3
274,2,2
275,6,4
276,0,0
277,3,2
278,1,1
279,3,3
280,2,0
281,2,0
282,1,1
283,3,3
284,2,0
285,3,0
286,4,2
287,2,0
288,4,0
289,4,3
290,3,0
291,2,2
292,5,3
293,3,2
294,3,3
295,2,2
296,1,0
297,1,0
298,3,0
299,2,0
300,2,1
301,1,0
302,3,2
303,1,0
304,4,0
305,3,2
306,2,0
307,1,0
308,1,0
309,1,0
310,4,0
311,3,0
312,3,2
313,4,0
314,3,0
315,6,4
316,1,0
317,3,2
318,3,0
319,4,0
320,3,0
321,1,1
322,4,0
323,4,0
324,2,0
325,3,0
326,4,0
327,3,3
328,0,0
329,3,1
330,0,0
331,3,2
332,1,0
333,4,2
334,5,0
335,2,0
336,3,0
337,4,0
338,3,1
339,1,0
340,3,0
341,4,0
342,3,0
343,1,0
344,2,1
345,3,2
346,7,5
347,4,2
348,3,3
349,2,0
350,3,2
351,5,0
352,4,4
353,3,2
354,2,0
355,5,3
356,2,0
357,5,3
358,3,1
359,1,0
360,6,5
361,3,3
362,4,0
363,2,2
364,2,0
365,2,1
366,1,0
367,1,0
368,3,3
369,5,0
370,4,0
371,3,2
372,6,0
373,1,0
374,4,2
375,1,0
376,7,0
377,4,0
378,3,2
379,5,3
380,2,2
381,8,6
382,2,2
383,4,0
384,4,2
385,4,0
386,4,0
387,3,3
388,7,0
389,2,1
390,3,2
391,2,1
392,3,2
393,3,3
394,3,0
395,3,2
396,2,1
397,4,0
398,3,1
399,2,2
400,4,2
401,3,2
402,1,0
403,4,4
404,2,0
405,2,0
406,4,2
407,2,2
408,5,0
409,2,0
410,0,0
411,4,2
412,4,2
413,5,3
414,4,2
415,4,2
416,2,0
417,5,3
418,4,0
419,4,4
420,0,0
421,6,4
422,0,0
423,4,2
424,2,1
425,2,2
426,2,2
427,1,0
428,3,0
429,5,4
430,1,1
431,2,2
432,4,0
433,1,0
434,3,2
435,2,0
436,1,0
437,3,1
438,4,0
439,3,1
440,2,2
441,1,0
442,7,0
443,2,1
444,4,0
445,3,2
446,1,0
447,3,0
448,3,3
449,2,2
450,5,3
451,4,0
452,2,1
453,0,0
454,3,0
455,6,4
456,3,2
457,5,4
458,5,0
459,2,2
460,4,3
461,4,2
462,4,2
463,4,2
464,3,0
465,2,1
466,3,2
467,4,3
468,2,0
469,1,0
470,2,0
471,3,2
472,3,2
473,1,1
474,2,0
475,7,5
476,3,2
477,2,1
478,3,0
479,0,0
480,3,2
481,1,1
482,4,0
483,5,0
484,4,0
485,1,0
486,2,2
487,4,2
488,3,0
489,7,0
490,2,0
491,5,0
492,3,0
493,2,0
494,6,0
495,4,0
496,7,0
497,1,0
498,1,0
499,1,1
500,4,0
501,1,1
502,3,0
503,2,0
504,3,0
505,3,3
506,0,0
507,2,0
508,4,2
509,5,0
510,2,1
511,3,3
512,2,0
513,3,2
514,3,1
515,1,1
516,2,0
517,2,2
518,2,0
519,2,0
520,2,0
521,2,0
522,3,0
523,2,2
524,5,0
525,2,1
526,4,3
527,2,2
528,3,3
529,4,0
