index,search_results,rank
0,5,4
1,5,1
2,4,0
3,5,0
4,3,1
5,6,2
6,5,1
7,2,1
8,5,2
9,3,2
10,5,1
11,5,0
12,8,4
13,7,2
14,1,1
15,7,3
16,2,2
17,9,6
18,2,1
19,6,1
20,3,2
21,2,2
22,6,1
23,4,3
24,8,4
25,3,1
26,3,3
27,2,1
28,4,4
29,4,4
30,7,2
31,5,0
32,2,0
33,6,2
34,2,2
35,3,2
36,4,1
37,5,5
38,4,4
39,2,0
40,5,1
41,5,2
42,7,2
43,5,0
44,3,0
45,5,2
46,8,3
47,2,1
48,4,0
49,3,2
50,7,2
51,3,1
52,5,3
53,4,2
54,8,3
55,4,2
56,3,0
57,6,2
58,2,0
59,2,1
60,8,0
61,3,1
62,6,4
63,2,2
64,4,0
65,7,4
66,6,5
67,2,2
68,0,0
69,5,0
70,2,0
71,6,1
72,5,2
73,2,2
74,5,5
75,5,1
76,5,2
77,4,4
78,4,1
79,3,2
80,3,1
81,4,4
82,9,5
83,3,2
84,4,1
85,8,3
86,3,2
87,5,5
88,8,5
89,7,5
90,2,1
91,0,0
92,5,0
93,7,2
94,4,1
95,1,0
96,3,2
97,4,2
98,3,1
99,4,0
100,8,0
101,7,3
102,1,1
103,0,0
104,4,0
105,9,4
106,5,1
107,8,3
108,9,4
109,4,1
110,6,1
111,2,0
112,5,0
113,5,0
114,8,3
115,2,0
116,4,2
117,3,1
118,6,2
119,5,2
120,5,0
121,2,1
122,6,3
123,7,4
124,5,3
125,3,0
126,5,0
127,5,0
128,1,1
129,7,2
130,7,2
131,7,5
132,6,0
133,3,3
134,5,4
135,4,2
136,4,3
137,4,2
138,5,1
139,7,4
140,5,1
141,8,3
142,2,1
143,6,1
144,6,3
145,2,0
146,4,1
147,1,1
148,3,0
149,1,1
150,5,0
151,0,0
152,4,3
153,9,4
154,9,4
155,5,1
156,6,1
157,2,0
158,3,0
159,8,4
160,4,2
161,3,1
162,1,1
163,8,3
164,5,4
165,5,4
166,7,0
167,3,2
168,5,2
169,1,0
170,8,4
171,3,2
172,8,5
173,2,2
174,4,0
175,3,3
176,5,5
177,1,0
178,2,0
179,13,8
180,3,1
181,7,2
182,3,3
183,8,4
184,8,3
185,3,0
186,3,0
187,4,3
188,6,1
189,6,2
190,5,3
191,5,5
192,3,2
193,6,3
194,4,2
195,2,0
196,0,0
197,6,1
198,4,1
199,7,3
