index,search_results,rank
0,7,5
1,6,0
2,6,4
3,5,5
4,8,5
5,4,0
6,5,5
7,8,4
8,7,6
9,8,7
10,3,2
11,8,5
12,9,5
13,6,6
14,8,4
15,6,6
16,9,6
17,5,1
18,8,0
19,6,2
20,14,11
21,7,4
22,6,3
23,8,8
24,7,3
25,4,3
26,6,5
27,10,8
28,6,3
29,3,2
30,8,0
31,4,0
32,12,8
33,12,0
34,6,3
35,2,2
36,5,5
37,8,0
38,10,0
39,9,0
40,4,0
41,8,4
42,10,0
43,11,7
44,13,11
45,12,8
46,6,3
47,3,2
48,5,3
49,5,4
50,8,5
51,7,5
52,6,0
53,4,3
54,12,8
55,6,2
56,1,1
57,4,4
58,7,5
59,5,0
60,5,3
61,5,0
62,11,8
63,2,0
64,4,2
65,5,2
66,11,7
67,6,6
68,8,7
69,10,6
70,11,7
71,9,6
72,6,0
73,4,2
74,6,3
75,8,4
76,7,7
77,8,0
78,6,3
79,6,0
80,10,6
81,7,3
82,9,5
83,9,0
84,7,0
85,7,6
86,11,9
87,5,0
88,10,0
89,3,2
90,14,10
91,10,0
92,9,9
93,8,0
94,5,0
95,7,0
96,8,8
97,6,6
98,3,2
99,4,0
100,5,5
101,6,0
102,4,3
103,6,0
104,6,6
105,8,5
106,6,3
107,7,0
108,6,3
109,4,3
110,10,0
111,5,5
112,7,6
113,2,2
114,7,0
115,7,7
116,7,0
117,9,0
118,5,4
119,5,3
120,3,3
121,8,7
122,10,7
123,9,0
124,7,0
125,9,7
126,8,8
127,8,6
128,7,3
129,8,7
130,7,5
131,9,5
132,9,0
133,8,4
134,12,9
135,7,4
136,6,0
137,4,0
138,9,6
139,3,0
140,9,0
141,5,0
142,5,3
143,9,5
144,3,3
145,4,4
146,9,5
147,8,0
148,6,3
149,7,3
150,4,4
151,5,5
152,7,0
153,5,2
154,7,6
155,10,6
156,11,8
157,2,0
158,8,6
159,2,0
160,9,0
161,4,2
162,10,0
163,8,4
164,6,3
165,6,5
166,10,6
167,5,3
168,8,4
169,9,0
170,4,4
171,14,10
172,6,4
173,5,5
174,10,10
175,6,3
176,7,4
177,11,7
178,7,5
179,13,10
180,5,4
181,3,2
182,3,0
183,5,5
184,8,0
185,5,4
186,6,3
187,11,8
188,10,6
189,10,8
190,4,3
191,3,0
192,7,0
193,11,11
194,9,7
195,6,4
196,6,0
197,12,8
198,12,8
199,3,0
200,4,0
201,10,0
202,3,2
203,7,7
204,6,5
205,7,5
206,8,6
207,1,1
208,11,0
209,3,2
210,5,5
211,8,0
212,8,0
213,8,4
214,8,0
215,7,6
216,4,1
217,6,3
218,3,0
219,7,5
220,7,4
221,7,0
222,11,7
223,3,2
224,7,0
225,10,7
226,4,2
227,9,7
228,9,5
229,11,7
230,8,6
231,7,5
232,8,6
233,8,5
234,4,4
235,11,7
236,2,1
237,10,8
238,6,4
239,5,5
240,5,0
241,11,0
242,4,2
243,5,5
244,13,10
245,11,7
246,10,7
247,11,10
248,1,1
249,6,5
250,4,3
251,9,0
252,8,7
253,3,0
254,4,1
